"filename", "language", "C#", "XML", "JSON", "EditorConfig", "comment", "blank", "total"
"d:\demo\Back-End\Cukcuk.Core\Auth\ApplicationUser.cs", "C#", 17, 0, 0, 0, 0, 4, 21
"d:\demo\Back-End\Cukcuk.Core\Auth\PermissionAttribute.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\demo\Back-End\Cukcuk.Core\Auth\PermissionMiddleware.cs", "C#", 34, 0, 0, 0, 0, 6, 40
"d:\demo\Back-End\Cukcuk.Core\Auth\UserRoles.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"d:\demo\Back-End\Cukcuk.Core\Cukcuk.Core.csproj", "XML", 0, 27, 0, 0, 0, 4, 31
"d:\demo\Back-End\Cukcuk.Core\DTOs\AddContentRequest.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"d:\demo\Back-End\Cukcuk.Core\DTOs\AddLinkRequest.cs", "C#", 9, 0, 0, 0, 0, 1, 10
"d:\demo\Back-End\Cukcuk.Core\DTOs\CustomerExport.cs", "C#", 16, 0, 0, 0, 0, 1, 17
"d:\demo\Back-End\Cukcuk.Core\DTOs\CustomerImportReport.cs", "C#", 8, 0, 0, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Core\DTOs\CustomerImportResponse.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\demo\Back-End\Cukcuk.Core\DTOs\DocumentExport.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"d:\demo\Back-End\Cukcuk.Core\DTOs\EmployeeDTO.cs", "C#", 53, 0, 0, 0, 0, 1, 54
"d:\demo\Back-End\Cukcuk.Core\DTOs\EmployeeExport.cs", "C#", 23, 0, 0, 0, 0, 1, 24
"d:\demo\Back-End\Cukcuk.Core\DTOs\EmployeeImportReport.cs", "C#", 8, 0, 0, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Core\DTOs\EmployeeImportResponse.cs", "C#", 8, 0, 0, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Core\DTOs\LoginModel.cs", "C#", 11, 0, 0, 0, 0, 3, 14
"d:\demo\Back-End\Cukcuk.Core\DTOs\PageResult.cs", "C#", 9, 0, 0, 0, 0, 3, 12
"d:\demo\Back-End\Cukcuk.Core\DTOs\RegisterModel.cs", "C#", 14, 0, 0, 0, 0, 4, 18
"d:\demo\Back-End\Cukcuk.Core\DTOs\Response.cs", "C#", 8, 0, 0, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Core\DTOs\StatisticalDobResponse.cs", "C#", 8, 0, 0, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Core\DTOs\StatisticalGenderResponse.cs", "C#", 34, 0, 0, 0, 0, 2, 36
"d:\demo\Back-End\Cukcuk.Core\DTOs\TokenModel.cs", "C#", 8, 0, 0, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Core\DTOs\UploadFileReponse.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\demo\Back-End\Cukcuk.Core\DTOs\UserMessage.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"d:\demo\Back-End\Cukcuk.Core\Entities\Customer.cs", "C#", 48, 0, 0, 0, 0, 6, 54
"d:\demo\Back-End\Cukcuk.Core\Entities\CustomerFolder.cs", "C#", 18, 0, 0, 0, 0, 4, 22
"d:\demo\Back-End\Cukcuk.Core\Entities\CustomerGroup.cs", "C#", 11, 0, 0, 0, 0, 3, 14
"d:\demo\Back-End\Cukcuk.Core\Entities\Department.cs", "C#", 16, 0, 0, 0, 0, 3, 19
"d:\demo\Back-End\Cukcuk.Core\Entities\Document.cs", "C#", 27, 0, 0, 0, 0, 12, 39
"d:\demo\Back-End\Cukcuk.Core\Entities\DocumentBlock.cs", "C#", 24, 0, 0, 0, 0, 8, 32
"d:\demo\Back-End\Cukcuk.Core\Entities\DocumentCategory.cs", "C#", 11, 0, 0, 0, 0, 4, 15
"d:\demo\Back-End\Cukcuk.Core\Entities\Employee.cs", "C#", 47, 0, 0, 0, 0, 8, 55
"d:\demo\Back-End\Cukcuk.Core\Entities\EmployeeFolder.cs", "C#", 18, 0, 0, 0, 0, 4, 22
"d:\demo\Back-End\Cukcuk.Core\Entities\Import.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"d:\demo\Back-End\Cukcuk.Core\Entities\Menu.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"d:\demo\Back-End\Cukcuk.Core\Entities\Message.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"d:\demo\Back-End\Cukcuk.Core\Entities\Permission.cs", "C#", 12, 0, 0, 0, 0, 3, 15
"d:\demo\Back-End\Cukcuk.Core\Entities\Position.cs", "C#", 16, 0, 0, 0, 0, 2, 18
"d:\demo\Back-End\Cukcuk.Core\Entities\UserPermission.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"d:\demo\Back-End\Cukcuk.Core\Enum\DocumentType.cs", "C#", 16, 0, 0, 0, 0, 2, 18
"d:\demo\Back-End\Cukcuk.Core\Helper\Cache.cs", "C#", 28, 0, 0, 0, 0, 7, 35
"d:\demo\Back-End\Cukcuk.Core\Helper\ExcelHelper.cs", "C#", 183, 0, 0, 0, 0, 26, 209
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IBaseRepository.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IBaseService.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\ICustomerGroupRepository.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\ICustomerRepository.cs", "C#", 18, 0, 0, 0, 0, 5, 23
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\IDepartmentRepository.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\IDocumentRepository.cs", "C#", 28, 0, 0, 0, 0, 16, 44
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\IEmployeeRepository.cs", "C#", 16, 0, 0, 0, 0, 5, 21
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\IImportRepository.cs", "C#", 10, 0, 0, 0, 0, 3, 13
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\IMenuRepository.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\IMessageRepository.cs", "C#", 12, 0, 0, 0, 0, 6, 18
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\IPermissionRepository.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IRepositories\IPositionRepository.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IServices\ICustomerService.cs", "C#", 18, 0, 0, 0, 0, 8, 26
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IServices\IDepartmentService.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IServices\IDocumentService.cs", "C#", 34, 0, 0, 0, 0, 22, 56
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IServices\IEmployeeService.cs", "C#", 18, 0, 0, 0, 0, 7, 25
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IServices\IImportService.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IServices\IMenuService.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IServices\IPermissionService.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"d:\demo\Back-End\Cukcuk.Core\Interfaces\IServices\IPositionService.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\demo\Back-End\Cukcuk.Core\Services\CustomerService.cs", "C#", 215, 0, 0, 0, 0, 42, 257
"d:\demo\Back-End\Cukcuk.Core\Services\DepartmentService.cs", "C#", 55, 0, 0, 0, 0, 9, 64
"d:\demo\Back-End\Cukcuk.Core\Services\DocumentService.cs", "C#", 756, 0, 0, 0, 13, 191, 960
"d:\demo\Back-End\Cukcuk.Core\Services\EmployeeService.cs", "C#", 282, 0, 0, 0, 2, 44, 328
"d:\demo\Back-End\Cukcuk.Core\Services\ImportService.cs", "C#", 41, 0, 0, 0, 0, 9, 50
"d:\demo\Back-End\Cukcuk.Core\Services\MenuService.cs", "C#", 54, 0, 0, 0, 0, 7, 61
"d:\demo\Back-End\Cukcuk.Core\Services\PermissionService.cs", "C#", 44, 0, 0, 0, 0, 7, 51
"d:\demo\Back-End\Cukcuk.Core\Services\PositionService.cs", "C#", 56, 0, 0, 0, 0, 9, 65
"d:\demo\Back-End\Cukcuk.Core\SignalR\ChatHub.cs", "C#", 92, 0, 0, 0, 0, 10, 102
"d:\demo\Back-End\Cukcuk.Core\bin\Debug\net8.0\Cukcuk.Core.deps.json", "JSON", 0, 0, 2518, 0, 0, 0, 2518
"d:\demo\Back-End\Cukcuk.Core\bin\Debug\net8.0\Cukcuk.Core.runtimeconfig.json", "JSON", 0, 0, 19, 0, 0, 0, 19
"d:\demo\Back-End\Cukcuk.Core\obj\Cukcuk.Core.csproj.EntityFrameworkCore.targets", "XML", 0, 28, 0, 0, 0, 1, 29
"d:\demo\Back-End\Cukcuk.Core\obj\Cukcuk.Core.csproj.nuget.dgspec.json", "JSON", 0, 0, 138, 0, 0, 0, 138
"d:\demo\Back-End\Cukcuk.Core\obj\Cukcuk.Core.csproj.nuget.g.props", "XML", 0, 24, 0, 0, 0, 0, 24
"d:\demo\Back-End\Cukcuk.Core\obj\Cukcuk.Core.csproj.nuget.g.targets", "XML", 0, 10, 0, 0, 0, 0, 10
"d:\demo\Back-End\Cukcuk.Core\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
