"filename", "language", "JSON", "C#", "EditorConfig", "XML", "Markdown", "comment", "blank", "total"
"d:\demo\Back-End\Cukcuk.Api\.vs\Cukcuk.Api\v17\DocumentLayout.backup.json", "JSON", 121, 0, 0, 0, 0, 0, 0, 121
"d:\demo\Back-End\Cukcuk.Api\.vs\Cukcuk.Api\v17\DocumentLayout.json", "JSON", 120, 0, 0, 0, 0, 0, 0, 120
"d:\demo\Back-End\Cukcuk.Api\Controllers\AuthsController.cs", "C#", 0, 279, 0, 0, 0, 1, 61, 341
"d:\demo\Back-End\Cukcuk.Api\Controllers\CustomersController.cs", "C#", 0, 239, 0, 0, 0, 0, 31, 270
"d:\demo\Back-End\Cukcuk.Api\Controllers\DepartmentsController.cs", "C#", 0, 83, 0, 0, 0, 0, 10, 93
"d:\demo\Back-End\Cukcuk.Api\Controllers\DocumentsController.cs", "C#", 0, 347, 0, 0, 0, 0, 40, 387
"d:\demo\Back-End\Cukcuk.Api\Controllers\EmployeesController.cs", "C#", 0, 232, 0, 0, 0, 21, 37, 290
"d:\demo\Back-End\Cukcuk.Api\Controllers\ImportsController.cs", "C#", 0, 65, 0, 0, 0, 0, 6, 71
"d:\demo\Back-End\Cukcuk.Api\Controllers\MenusController.cs", "C#", 0, 102, 0, 0, 0, 0, 9, 111
"d:\demo\Back-End\Cukcuk.Api\Controllers\MessagesController.cs", "C#", 0, 56, 0, 0, 0, 0, 5, 61
"d:\demo\Back-End\Cukcuk.Api\Controllers\PermissionsController.cs", "C#", 0, 79, 0, 0, 0, 0, 7, 86
"d:\demo\Back-End\Cukcuk.Api\Controllers\PositionsController.cs", "C#", 0, 83, 0, 0, 0, 0, 9, 92
"d:\demo\Back-End\Cukcuk.Api\Cukcuk.Api.csproj", "XML", 0, 0, 0, 29, 0, 0, 7, 36
"d:\demo\Back-End\Cukcuk.Api\Program.cs", "C#", 0, 144, 0, 0, 0, 2, 26, 172
"d:\demo\Back-End\Cukcuk.Api\Properties\launchSettings.json", "JSON", 41, 0, 0, 0, 0, 0, 1, 42
"d:\demo\Back-End\Cukcuk.Api\WordToMarkdown.md", "Markdown", 0, 0, 0, 0, 1290, 0, 1009, 2299
"d:\demo\Back-End\Cukcuk.Api\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Api\appsettings.json", "JSON", 26, 0, 0, 0, 0, 0, 1, 27
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.deps.json", "JSON", 2983, 0, 0, 0, 0, 0, 0, 2983
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.runtimeconfig.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 20
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.staticwebassets.endpoints.json", "JSON", 170, 0, 0, 0, 0, 0, 0, 170
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.staticwebassets.runtime.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\appsettings.json", "JSON", 26, 0, 0, 0, 0, 0, 1, 27
"d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.EntityFrameworkCore.targets", "XML", 0, 0, 0, 28, 0, 0, 1, 29
"d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.nuget.dgspec.json", "JSON", 340, 0, 0, 0, 0, 0, 0, 340
"d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.nuget.g.props", "XML", 0, 0, 0, 25, 0, 0, 0, 25
"d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.nuget.g.targets", "XML", 0, 0, 0, 10, 0, 0, 0, 10
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\ApiEndpoints.json", "JSON", 1571, 0, 0, 0, 0, 0, 0, 1571
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 10, 5, 24
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 21, 0, 0, 0, 1, 22
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.GlobalUsings.g.cs", "C#", 0, 16, 0, 0, 0, 1, 1, 18
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 3, 0, 0, 0, 10, 5, 18
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\EndpointInfo\Cukcuk.Api.json", "JSON", 3349, 0, 0, 0, 0, 0, 0, 3349
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.build.endpoints.json", "JSON", 170, 0, 0, 0, 0, 0, 0, 170
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 228, 0, 0, 0, 0, 0, 0, 228
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.development.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
